date,amount,vendor,mess,items
2024-08-03,33076,ANANDA FOODS,MESS I,Bitter Gourd|Banana|Cocoa Powder|Curd|Vanilla Essence
2024-08-04,40730,OIL DEPOT,MESS J,Capsicum|Floor Cleaner|Scrub Pad|Coriander Powder|Eggs
2024-08-04,17978,RICE WORLD,MESS C,Cumin|Poha
2024-08-05,9381,PULSES PALACE,MESS A,Wheat Flour|Sugar|Ghee
2024-08-06,35516,FLOUR MILL CO,MESS H,Cornflour|Sunflower Oil|Mango|Capsicum
2024-08-06,47133,AGRO TRADERS,MESS B,Sugar|Red Chilli Powder|Groundnut Oil|Milk|Tea Powder
2024-08-07,51462,CITY PROVISIONS,MESS F,Chana Dal|Poha|Curry Leaves|Ridge Gourd|Mustard Seeds|Coconut
2024-08-08,33298,PRIME PROVISIONS,MESS F,Horlicks|Sugar|Semolina|Ghee|Milk
2024-08-09,7580,PRIME PROVISIONS,MESS I,Pickle|Curd
2024-08-09,11691,GOODNESS GRAINS,MESS G,Food Color|Soya Chunks
2024-08-10,32765,RICE WORLD,MESS E,Raw Banana|Curry Leaves|Garam Masala
2024-08-11,15076,FRESH FARMS,MESS J,Mustard Seeds|Chana Dal|Curry Leaves|Coconut
2024-08-12,41869,FLOUR MILL CO,MESS H,Turmeric|Potato|Onion|Tamarind|Toor Dal|Tomato
2024-08-13,5893,BHARATH SUPPLIERS,MESS F,Bread|Biscuits
2024-08-14,38719,PADMA PROVISIONS,MESS B,Bread|Butter|Eggs
2024-08-15,24514,OIL DEPOT,MESS B,Mustard Seeds|Chana Dal|Curry Leaves|Coconut
2024-08-15,13081,DAIRY PLUS,MESS D,Groundnut Oil|Turmeric|Black Chana|Baking Soda|Tissue Paper
2024-08-16,26383,FLOUR MILL CO,MESS J,Chana Dal|Curry Leaves|Mustard Seeds|Sunflower Oil|Coconut
2024-08-17,47668,PULSES PALACE,MESS F,Soy Sauce|Bread|Butter|Eggs
2024-08-18,4861,GOODNESS GRAINS,MESS E,Papaya|Cabbage|Raw Banana
2024-08-19,44085,LAKSHMI TRADERS,MESS G,Rava|Bread|Raw Banana
2024-08-19,37327,AGRO TRADERS,MESS D,Green Moong|Soy Sauce|Coconut|Banana
2024-08-20,7294,ANANDA FOODS,MESS C,Jaggery|Potato|Tomato
2024-08-20,17632,SUNNY FOODS,MESS A,Spinach|Moong Dal|Cumin
2024-08-21,12181,HERITAGE FOODS,MESS F,Spinach|Moong Dal|Cumin
2024-08-22,31562,GOODNESS GRAINS,MESS E,Cumin|Tissue Paper|Red Chilli Powder
2024-08-22,51626,MASALA KING,MESS I,Bread|Butter|Eggs|Coffee Powder
2024-08-23,56292,OIL DEPOT,MESS C,Hand Wash|Butter|Rajma|Bread|Eggs
2024-08-24,20464,METRO SUPPLY,MESS G,Turmeric|Onion|Tamarind|Toor Dal|Tomato
2024-08-25,14288,PULSES PALACE,MESS C,Garam Masala|Papad|Floor Cleaner|Coriander Powder|Onion|Tomato
2024-08-26,24867,ANANDA FOODS,MESS C,Tofu|Hand Wash|Banana
2024-08-26,43494,SPICE VALLEY,MESS D,Wheat Flour|Sugar|Ghee
2024-08-27,54096,VEGGIE HUB,MESS J,Spinach|Rava|Chicken|Moong Dal|Cumin
2024-08-28,41750,FRESH FARMS,MESS G,Bread|Butter|Eggs
2024-08-29,12370,SUNNY FOODS,MESS J,Asafoetida|Green Moong
2024-08-29,48115,SPICE VALLEY,MESS E,Drumstick|Beans|Basmati Rice|Pickle|Apple
2024-08-30,33386,VEGGIE HUB,MESS G,Raw Banana|Papaya|Asafoetida|Papad
2024-08-31,39862,SUNNY FOODS,MESS I,Ghee|Pickle|Palm Oil|Pepper
2024-09-01,3472,SRI VENKATA AGRO,MESS G,Potato|Garam Masala
2024-09-02,28221,SPICE VALLEY,MESS B,Bread|Butter|Eggs
2024-09-03,9941,ANANDA FOODS,MESS A,Floor Cleaner|Bournvita|Sugar
2024-09-03,12731,ANANDA FOODS,MESS I,Yeast|Sugar|Onion|Milk|Tea Powder
2024-09-04,56972,CITY PROVISIONS,MESS G,Sona Masoori Rice|Broken Wheat|Sugar|Milk|Tea Powder
2024-09-05,36606,ANANDA FOODS,MESS D,Garam Masala|Basmati Rice|Raw Banana|Coriander Powder|Onion|Tomato
2024-09-06,39589,SRI VENKATA AGRO,MESS E,Vanilla Essence|Sugar|Cumin|Papad
2024-09-07,48215,KRISHNA STORES,MESS B,Garam Masala|Yeast|Capsicum|Coriander Powder|Onion|Tomato
2024-09-07,22799,MASALA KING,MESS E,Bread|Butter|Eggs
2024-09-08,11577,RICE WORLD,MESS D,Sugar|Milk|Tea Powder
2024-09-09,10586,SUNNY FOODS,MESS C,Toor Dal|Yeast
2024-09-09,45464,GRAIN MART,MESS H,Bread|Butter|Eggs|Pickle
2024-09-10,199888,GRAIN MART,MESS I,Watermelon|Rava|Coconut|Palm Oil|Pepper
2024-09-11,15159,DAIRY PLUS,MESS F,Mustard Seeds|Curry Leaves|Onion|Potato
2024-09-12,26579,KRISHNA STORES,MESS G,Mustard Seeds|Bread|Butter|Eggs
2024-09-13,25762,DAIRY PLUS,MESS E,Cumin|Cabbage|Peas|Soya Chunks|Tea Powder
2024-09-14,18540,BEST BULK,MESS F,Drumstick|Biscuits|Papad|Vermicelli
2024-09-15,21021,DAIRY PLUS,MESS H,Red Chilli Powder|Biscuits|Drumstick|Palm Oil
2024-09-15,20264,OIL DEPOT,MESS J,Curd|Turmeric|Coconut Oil
2024-09-16,35528,METRO SUPPLY,MESS C,Tamarind|Dish Soap|Mutton|Pickle
2024-09-17,19320,APEX AGRO,MESS E,Yam|Sugar|Red Chilli Powder|Eggs|Apple
2024-09-18,10161,BEST BULK,MESS B,Garam Masala|Coriander Powder|Onion|Tomato|Chicken
2024-09-19,21458,SPICE VALLEY,MESS B,Wheat Flour|Sugar|Ghee
2024-09-19,29763,METRO SUPPLY,MESS C,Wheat Flour|Sugar|Ghee
2024-09-20,74120,BHARATH SUPPLIERS,MESS E,Sugar|Wheat Flour|Ghee|Watermelon|Tomato
2024-09-20,18924,BHARATH SUPPLIERS,MESS F,Sugar|Milk|Tea Powder
2024-09-21,56034,SRI VENKATA AGRO,MESS C,Sona Masoori Rice|Vanilla Essence|Spinach|Moong Dal|Cumin
2024-09-22,49763,PADMA PROVISIONS,MESS F,Sugar|Semolina|Ghee|Pepper|Milk
2024-09-22,10519,MASALA KING,MESS I,Curd|Tissue Paper|Papaya|Yam
2024-09-23,31083,NATURE BASKET,MESS E,Beans|Coconut Oil|Wheat Flour|Soya Chunks|Vermicelli
2024-09-24,31359,MASALA KING,MESS B,Spinach|Moong Dal|Cumin
2024-09-24,4662,SUNNY FOODS,MESS H,Groundnut Oil|Toor Dal
2024-09-25,22844,RICE WORLD,MESS D,Cumin|Sona Masoori Rice|Rajma|Ridge Gourd
2024-09-26,6968,CITY PROVISIONS,MESS D,Mustard Seeds|Curry Leaves|Onion|Potato
2024-09-27,29253,SARAVANA STORES,MESS A,Masoor Dal|Bitter Gourd|Floor Cleaner
2024-09-28,36610,HERITAGE FOODS,MESS D,Turmeric|Vanilla Essence|Onion|Tamarind|Toor Dal|Tomato
2024-09-29,52000,PRIME PROVISIONS,MESS A,Urad Dal|Papaya|Sugar|Wheat Flour|Ghee
2024-09-29,20918,HERITAGE FOODS,MESS H,Vanilla Essence|Cumin
2024-09-30,39872,PADMA PROVISIONS,MESS E,Spinach|Moong Dal|Cumin
2024-09-30,32167,PULSES PALACE,MESS J,Broken Wheat|Mango|Soya Chunks
2024-10-01,17808,SRI VENKATA AGRO,MESS G,Tofu|Red Chilli Powder
2024-10-01,53816,PADMA PROVISIONS,MESS G,Spinach|Mutton|Soya Chunks|Moong Dal|Cumin
2024-10-02,28853,VEGGIE HUB,MESS C,Urad Dal|Horlicks|Beans
